,size,simple_mean,simple_var,log_mean,log_var
70,72,0.0441176056472853,0.004720863467904525,0.04316746911786738,0.004250809197899104
71,73,0.04317368725025374,0.004575716517289313,0.0422606282412769,0.004132524827259641
72,74,0.04360543272920257,0.004583485005468071,0.04267916047775385,0.004134776557419805
73,75,0.04342294690732854,0.0047200081548077226,0.042502711239185975,0.004251300496889551
74,76,0.04358860672150065,0.004769428294910278,0.04266175043493397,0.0043006362854873005
75,77,0.04513520523176638,0.0047737590165936716,0.04414048263225416,0.004275342779944662
76,78,0.04458117150466214,0.004782217797727439,0.04361150810162785,0.004298242057290955
77,79,0.04337261907501479,0.004525023097692418,0.04245550621840904,0.004072052296696848
78,80,0.04403557260225795,0.004581664582315048,0.04309086055655244,0.004122115898596597
79,81,0.0442994032159841,0.004592986100137703,0.04334494313572409,0.004131993888990225
80,82,0.04365726306913498,0.0045278791975199234,0.04272978600437381,0.004077258222132897
81,83,0.044255878827623975,0.004530632839779984,0.043303338744663265,0.004067321861260574
82,84,0.043723323388951144,0.00457055621662855,0.04279298101828902,0.004112100580972314
83,85,0.043891768558752466,0.0046416268316003565,0.04295413143055836,0.00417413131721291
84,86,0.044460914787009274,0.0046738387886802405,0.04349947424884804,0.004202658290970203
85,87,0.04405540228381695,0.004497721863356179,0.04311098381227121,0.004041578776268878
86,88,0.04367928765688237,0.004514264760947089,0.04275032871275499,0.004061324016011786
87,89,0.04441293516570392,0.00455191205290705,0.043453926256959756,0.004091093662307671
88,90,0.043911500552418437,0.00453292006641025,0.04297381697233833,0.004075322472354705
89,91,0.043976845707863955,0.004591380425251656,0.04303692244517182,0.0041240739528906716
90,92,0.04402972131926589,0.0045080623992086065,0.04308738597875158,0.004051228855637558
91,93,0.04412595975391159,0.004659867232593937,0.04317959640431816,0.004185096572443845
92,94,0.044096916022157186,0.0045086664042176235,0.04315179636730749,0.004048119456080293
93,95,0.04395425943542617,0.004539633295022933,0.043015346948068654,0.004080876362771076
94,96,0.043847695175932,0.004463789021673579,0.04291324347421978,0.004014394545495865
95,97,0.04406118660103061,0.00450998102105082,0.0431180343439071,0.00405104210628068
96,98,0.04399840620705044,0.00448820163294395,0.04305796283768257,0.004032171001846988
